wavenumber,blue,black,red
4345.869,41.80777,40.96655,58.97395
4346.833,41.86538,41.01563,58.98375
4347.797,41.92181,41.0629,58.99106
4348.761,41.97841,41.11015,58.99778
4349.726,42.03378,41.15696,59.00497
4350.69,42.08884,41.20341,59.01251
4351.654,42.1456,41.25066,59.0218
4352.618,42.20121,41.29676,59.02928
4353.583,42.25488,41.34233,59.03605
4354.547,42.30764,41.38699,59.04308
4355.511,42.36148,41.43185,59.05074
4356.476,42.41564,41.47763,59.05944
4357.439,42.46856,41.52232,59.06614
4358.404,42.52117,41.56603,59.07211
4359.368,42.57327,41.60934,59.07865
4360.333,42.62394,41.65186,59.08564
4361.296,42.67544,41.69428,59.09305
4362.261,42.72639,41.73587,59.09928
4363.225,42.77588,41.77721,59.10578
4364.189,42.82601,41.81878,59.11346
4365.154,42.87406,41.85873,59.11911
4366.118,42.92285,41.89901,59.12572
4367.082,42.972,41.93928,59.13279
4368.046,43.01933,41.97787,59.13913
4369.011,43.06581,42.01468,59.14648
4369.975,43.11179,42.05246,59.15311
4370.939,43.15789,42.09116,59.15961
