data,data2
4.07853639053255e-05,90248.3333033048
4.08469269600592e-05,90058.5387939958
4.09084900147929e-05,89868.7442846867
4.09700530695266e-05,89678.9497753776
4.10316161242604e-05,89651.833244053
4.10931791789941e-05,89670.6135295008
4.11547422337278e-05,89689.3938149487
4.12163052884615e-05,89708.1741003965
4.12778683431953e-05,89726.9543858444
4.1339431397929e-05,89748.064069924
4.14009944526627e-05,89775.2152364909
4.14625575073965e-05,89802.3664030577
4.15241205621302e-05,89829.5175696245
4.15856836168639e-05,89856.6687361913
4.16472466715976e-05,89883.8199027581
4.17088097263314e-05,90136.602383268
4.17703727810651e-05,90493.6192160378
4.18319358357988e-05,90850.6360488075
4.18934988905326e-05,91207.6528815773
4.19550619452663e-05,91564.6697143471
4.2016625e-05,91921.6865471168
4.20781880547337e-05,92285.5019490067
4.21397511094675e-05,92649.3367316965
4.22013141642012e-05,93013.1715143862
4.22628772189349e-05,93377.0062970759
4.23244402736686e-05,93740.8410797656
4.23860033284024e-05,94176.3233168683
4.24475663831361e-05,94876.7776226377
4.25091294378698e-05,95577.231928407
4.25706924926036e-05,96277.6862341763
4.26322555473373e-05,96978.1405399456
4.2693818602071e-05,97678.5948457148
4.27553816568047e-05,98380.6611487524
4.28169447115385e-05,99085.9845128622
4.28785077662722e-05,99791.307876972
4.29400708210059e-05,100496.631241082
4.30016338757396e-05,101201.954605192
4.30631969304734e-05,101907.277969301
4.31247599852071e-05,102681.085663222
4.31863230399408e-05,103583.792292544
4.32478860946746e-05,104486.498921866
4.33094491494083e-05,105389.205551187
4.3371012204142e-05,106291.912180509
4.34325752588757e-05,107194.618809831
4.34941383136095e-05,108098.132636968
4.35557013683432e-05,109003.976820235
4.36172644230769e-05,109909.821003501
4.36788274778107e-05,110815.665186767
4.37403905325444e-05,111721.509370034
4.38019535872781e-05,112627.3535533
4.38635166420118e-05,113514.072341406
4.39250796967456e-05,114119.297334692
4.39866427514793e-05,114724.522327978
4.4048205806213e-05,115329.747321264
4.41097688609468e-05,115934.97231455
4.41713319156805e-05,116540.197307837
4.42328949704142e-05,117145.422301123
4.42944580251479e-05,117752.08501523
4.43560210798817e-05,118359.207013057
4.44175841346154e-05,118966.329010884
4.44791471893491e-05,119573.451008711
4.45407102440828e-05,120180.573006538
4.46022732988166e-05,120787.695004365
4.46638363535503e-05,121029.553727694
